# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Santos-Zavaleta A et al. (2019). RegulonDB v 10.5: tackling challenges to unify classic and high throughput knowledge of gene regulation in E. coli K-12.,
#      Nucleic Acids Res. 2019 Jan 8;47(D1):D212-D220. doi: 10.1093/nar/gky1077.
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 10.9 Date: 06/29/2021
# ___________________________________________________________________________
#
# Columns:
#  (1) Transcription Factor (TF) name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#  (5) Evidence Type [Weak, Strong, Confirmed] For details see: http://regulondb.ccg.unam.mx/evidenceclassification
#
AccB	accBC[accBp]	-	[null]	null	
AcrR	acrAB[acrAp]	-	[]	null	
AcrR	acrR[acrRp]	-	[APIORCISFBSCS, AIBSCS, BCE, BPP, GEA]	Strong	
AcrR	flhDC[flhDp]	-	[]	null	
AcrR	marRAB[marRp]	-	[]	null	
AcrR	micF[micFp]	-	[]	null	
AcrR	micF[micFp2]	-	[]	null	
AcrR	soxR[soxRp]	-	[]	null	
AcrR	soxS[soxSp]	-	[APIORCISFBSCS, BPP, GEA]	Strong	
Ada	ada-alkB[adap]	+	[]	null	
Ada	ada-alkB[adap2]	+	[]	null	
Ada	aidB[aidBp]	+	[]	null	
Ada	aidB[aidBp2]	+	[]	null	
Ada	alkA[alkAp]	+	[]	null	
Ada	alkA[alkAp2]	+	[]	null	
AdiY	adiA[adiAp]	+	[]	null	
AdiY	gadAX[gadAp]	+	[]	null	
AdiY	gadAX[gadAp2]	+	[]	null	
AdiY	gadBC[gadBp]	+	[]	null	
AdiY	gadBC[gadBp2]	+	[]	null	
AdiY	gltBDF[gltBp]	+	[]	null	
AdiY	gltBDF[gltBp2]	+	[]	null	
AgaR	agaR[agaRp]	-	[]	null	
AgaR	agaSYBCDI[agaSp]	-	[]	null	
AgaR	kbaZ-agaVWA[kbaZp]	-	[]	null	
AidB	aidB[aidBp]	-	[]	null	
AidB	aidB[aidBp2]	-	[]	null	
AlaS	alaS[alaSp]	-	[]	null	
AllR	allA[allAp]	-	[]	null	
AllR	allS[allSp]	-	[]	null	
AllR	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK[gclp]	-	[]	null	
AllS	allDC-ylbA[allDp]	+	[]	null	
AlsR	alsRBACE[alsRp2]	-	[]	null	
